	8594900
2016-06-22 02:00:00	-0.079
2016-06-22 03:00:00	-0.198
2016-06-22 04:00:00	-0.244
2016-06-22 05:00:00	-0.19
2016-06-22 06:00:00	0.008
2016-06-22 07:00:00	0.27
2016-06-22 08:00:00	0.467
2016-06-22 09:00:00	0.574
2016-06-22 10:00:00	0.55
2016-06-22 11:00:00	0.402
2016-06-22 12:00:00	0.219
2016-06-22 13:00:00	0.029
2016-06-22 14:00:00	-0.154
2016-06-22 15:00:00	-0.293
2016-06-22 16:00:00	-0.38
2016-06-22 17:00:00	-0.392
2016-06-22 18:00:00	-0.243
2016-06-22 19:00:00	0.028
2016-06-22 20:00:00	0.274
2016-06-22 21:00:00	0.426
2016-06-22 22:00:00	0.467
2016-06-22 23:00:00	0.392
2016-06-23 00:00:00	0.239
2016-06-23 01:00:00	0.059
2016-06-23 02:00:00	-0.109
2016-06-23 03:00:00	-0.253
2016-06-23 04:00:00	-0.355
2016-06-23 05:00:00	-0.362
2016-06-23 06:00:00	-0.183
2016-06-23 07:00:00	0.144
2016-06-23 08:00:00	0.432
2016-06-23 09:00:00	0.581
2016-06-23 10:00:00	0.631
2016-06-23 11:00:00	0.574
2016-06-23 12:00:00	0.395
2016-06-23 13:00:00	0.184
2016-06-23 14:00:00	-0.004
2016-06-23 15:00:00	-0.162
2016-06-23 16:00:00	-0.268
2016-06-23 17:00:00	-0.304
2016-06-23 18:00:00	-0.212
2016-06-23 19:00:00	0.042
2016-06-23 20:00:00	0.317
2016-06-23 21:00:00	0.514
2016-06-23 22:00:00	0.581
2016-06-23 23:00:00	0.541
2016-06-24 00:00:00	0.411
2016-06-24 01:00:00	0.228
2016-06-24 02:00:00	0.047
2016-06-24 03:00:00	-0.112
2016-06-24 04:00:00	-0.24
2016-06-24 05:00:00	-0.327
2016-06-24 06:00:00	-0.276
2016-06-24 07:00:00	0.003
2016-06-24 08:00:00	0.32
2016-06-24 09:00:00	0.558
2016-06-24 10:00:00	0.685
2016-06-24 11:00:00	0.668
2016-06-24 12:00:00	0.536
2016-06-24 13:00:00	0.338
2016-06-24 14:00:00	0.127
2016-06-24 15:00:00	-0.063
2016-06-24 16:00:00	-0.214
2016-06-24 17:00:00	-0.316
2016-06-24 18:00:00	-0.342
2016-06-24 19:00:00	-0.223
2016-06-24 20:00:00	0.068
2016-06-24 21:00:00	0.366
2016-06-24 22:00:00	0.569
2016-06-24 23:00:00	0.648
2016-06-25 00:00:00	0.605
